#Number of input points = 18
#     alpha               Energy
#1.650000000000000 0.566572851000000
#1.700000000000000 0.579113639000000
#1.750000000000000 0.591607032000000
#1.800000000000000 0.604386578000000
#1.850000000000000 0.616562947000000
#1.900000000000000 0.629347547000000
#1.950000000000000 0.643951150039850
#2.000000000000000 0.661156069000000
#2.050000000000000 0.662406447000000
#2.100000000000000 0.668608952000000
#2.150000000000000 0.676824253000000
#2.200000000000000 0.684336194000000
#2.250000000000000 0.691120320000000
#2.300000000000000 0.697167415000000
#2.350000000000000 0.702439144000000
#2.400000000000000 0.706986085000000
#2.450000000000000 0.710838329000000
#2.500000000000000 0.714050016000000
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   0.204422241468443    0.134534157018939    3.055305261209386    1.110814947328901      4.524e-18     -7.650e-19      4.588e-18     -3.165e-01      2.850e-01     1
   0.640565242826231    0.023333073854525    1.979375583144772    0.042970083847030     -7.243e-16     -5.282e-16      8.965e-16     -2.939e-03      3.546e-03     2
   0.676101233413202   -0.039018622559242    2.029634178794862    0.026023118092466     -3.232e-15      3.463e-15      4.736e-15      2.177e-02     -4.588e-02     3
   0.665718841018235    0.012581245252843    2.067241023785662    0.033644018646484     -1.038e-15      4.600e-16      1.135e-15      3.055e-03      6.632e-04     4
   0.725039766886376    0.002557520881129    2.867928476428786    0.083897225850056      1.988e-18      1.022e-17      1.041e-17     -2.286e-04      4.478e-03     5
