real,imag,alpha,theta,imag_err
2.897236160676253,-0.02620699815015326,1.1064179896798227,-0.02710551963489465,0.023259144776906764
2.9006351342858996,-0.004629474228592938,1.1407842730168045,-0.0047462912937486015,0.00012013978982172539
2.9054433900531325,-0.001969573094290428,1.1441374414861558,-0.003352615786622504,-0.00033327568960224885
2.8930653047074477,-0.002706569655157143,1.1302587121345142,-0.0013921746397266529,-0.0009689576536086421
2.9001460738934703,-0.004913026309088584,1.1404969148485975,-0.0050969810116998065,-0.0002001099816527378
2.905491507577485,-0.0020621038391927813,1.1441728154294268,-0.0035422123782847892,-9.279207483995104e-05
2.897901208707265,-0.027305391399018608,1.10524648535931,-0.028964178362526495,0.011202845233838667
2.900673386748065,-0.004634447530701779,1.1408224160268399,-0.004737611475518423,0.0004146223800625083
2.905444011115524,-0.0019581178032322655,1.1441466146749542,-0.0033347866825073963,9.754711313970542e-05
2.9117881361980764,-7.502651431288355e-05,1.1558512658974334,-5.629023350826095e-05,-3.7552940109176604e-05
2.90144909728227,-0.005045566614686796,1.141710559722052,-0.004896140575631215,-0.0008969333893018832
2.9056974114153773,-0.0017351824148718678,1.14467395042999,-0.0031014384095796634,0.0001784495164291254
2.905985117609509,-3.564140639129132e-05,1.145840466705601,-2.6295035680027985e-05,-1.7584012992526732e-05
2.921197755690514,-0.0059696179398514,1.1786748018193878,-0.007011112274570767,-0.0017315393540592514
2.8953506405611953,-0.022449137479442754,1.1103460167579942,-0.021410159686170313,0.015618046016322846
2.9005011432958443,-0.004621058000788094,1.1406560290561853,-0.004785989176525684,0.00027643273204449887
2.9054453760710053,-0.0020065272191878503,1.144114562181731,-0.0034138604906770857,-0.00039700208541516
2.91375384682553,-0.0027848890286053104,1.1593594845233837,-0.004639265902734627,0.00023280011018163163
2.9140922678377783,-0.004076773675440453,1.1596285744131622,-0.005615836502805992,-0.0004407464527343974
2.9014308262794737,-0.0050097269768049615,1.1416831120983149,-0.0048657067139695484,-0.0009990453829893647
2.9056742785898484,-0.0017291729657301017,1.144640912221241,-0.0030894971367282607,0.00020244301780661627
