#Number of input points = 18
#     alpha               Energy
#2.031871345029240 5.828833994469405
#2.039181286549708 5.831970090697275
#2.046491228070176 5.835363800888278
#2.053801169590643 5.839182631818360
#2.061111111111111 5.843001462677442
#2.068421052631579 5.846820293564152
#2.075730994152047 5.850637393967342
#2.083040935672515 5.854440014695246
#2.090350877192983 5.858242536710943
#2.097660818713450 5.862045058881338
#2.104970760233918 5.865847580325034
#2.112280701754386 5.869650102870247
#2.119590643274854 5.873452624196815
#2.126900584795322 5.877185917234394
#2.134210526315790 5.880710138861676
#2.141520467836258 5.884236842432495
#2.148830409356725 5.887763547131514
#2.156140350877193 5.891290251873577
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   5.831204193339392   -0.002567996516970    2.037434480307624   -0.003811842239460      1.116e-15      2.543e-14      2.546e-14      4.125e-04      1.080e-03     1
   5.831528370980453   -0.009331250362868    2.037800973688951   -0.007153192447732     -3.103e-15     -5.934e-14      5.942e-14      1.056e-03     -2.085e-03     2
   5.877106216866447   -0.005754479837920    2.127500557527964   -0.004769664926497      6.700e-14     -1.287e-13      1.451e-13     -5.948e-04      4.114e-04     3
   5.878271314263992   -0.003295094490839    2.128690805240200   -0.003625232148846     -9.046e-16      1.183e-15      1.489e-15     -9.465e-05      2.189e-04     4
   5.886436145967588   -0.029515271283140    2.148189414314539   -0.022879396910316     -1.067e-15      1.345e-14      1.350e-14     -2.377e-03     -5.667e-03     5
   5.888096146224989   -0.014109315288881    2.149415480158274   -0.015847784948397      1.115e-15     -1.234e-14      1.239e-14     -5.617e-04      2.318e-03     6
