#Number of input points = 22
#     alpha               Energy
#2.039181286549708 5.831970090697275
#2.046491228070176 5.835363800888278
#2.053801169590643 5.839182631818360
#2.061111111111111 5.843001462677442
#2.068421052631579 5.846820293564152
#2.075730994152047 5.850637393967342
#2.083040935672515 5.854440014695246
#2.090350877192983 5.858242536710943
#2.097660818713450 5.862045058881338
#2.104970760233918 5.865847580325034
#2.112280701754386 5.869650102870247
#2.119590643274854 5.873452624196815
#2.126900584795322 5.877185917234394
#2.134210526315790 5.880710138861676
#2.141520467836258 5.884236842432495
#2.148830409356725 5.887763547131514
#2.156140350877193 5.891290251873577
#2.163450292397661 5.894816956585784
#2.170760233918129 5.898343660613516
#2.178070175438596 5.900389149000000
#2.185380116959065 5.900389149000000
#2.192690058479532 5.900389149000000
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   5.851315549280971   -0.004267993041844    2.077213190365197   -0.003815881490604      6.050e-14     -1.031e-13      1.195e-13     -8.335e-05     -1.461e-04     1
   5.851635161838288   -0.003731325925115    2.077518160596386   -0.003567626002579     -2.863e-13      4.773e-13      5.566e-13      7.612e-05      1.229e-04     2
   5.866754317103293   -0.000061309118748    2.106715866376076   -0.000027970061187     -2.934e-17      6.177e-13      6.177e-13     -1.030e-06     -3.066e-05     3
   5.877626948468057   -0.008713245226179    2.129076869310998   -0.007152194122069      9.685e-16     -1.727e-15      1.980e-15     -5.945e-04     -1.037e-03     4
   5.879468722828184   -0.004768714240087    2.130932221104785   -0.005314433675054      1.172e-14     -2.434e-14      2.701e-14      4.568e-04      8.465e-04     5
   5.899154485703249   -0.006477755483563    2.176003527023703   -0.005606880115074     -2.070e-14      2.569e-14      3.300e-14     -1.787e-03     -7.533e-04     6
