#Number of input points = 9
#     alpha               Energy
#2.053801169590643 5.839182631818360
#2.061111111111111 5.843001462677442
#2.068421052631579 5.846820293564152
#2.075730994152047 5.850637393967342
#2.083040935672515 5.854440014695246
#2.090350877192983 5.858242536710943
#2.097660818713450 5.862045058881338
#2.104970760233918 5.865847580325034
#2.112280701754386 5.869650102870247
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   5.837693019527467   -0.000519395069094    2.050850190515624   -0.000243617433599      2.775e-17     -6.581e-14      6.581e-14      5.371e-05     -2.580e-04     1
   5.845848657372621   -0.000588990378034    2.066262160479048   -0.000389564735692      1.799e-13      2.432e-13      3.025e-13      1.572e-04     -1.684e-04     2
