#Number of input points = 15
#     alpha               Energy
#2.046491228070176 5.835363800888278
#2.053801169590643 5.839182631818360
#2.061111111111111 5.843001462677442
#2.068421052631579 5.846820293564152
#2.075730994152047 5.850637393967342
#2.083040935672515 5.854440014695246
#2.090350877192983 5.858242536710943
#2.097660818713450 5.862045058881338
#2.104970760233918 5.865847580325034
#2.112280701754386 5.869650102870247
#2.119590643274854 5.873452624196815
#2.126900584795322 5.877185917234394
#2.134210526315790 5.880710138861676
#2.141520467836258 5.884236842432495
#2.148830409356725 5.887763547131514
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   5.852855087606486   -0.004719566108263    2.080119283040660   -0.004182252313598     -7.581e-15      2.269e-14      2.392e-14      1.295e-06     -1.757e-04     1
   5.853067003051789   -0.003997841929722    2.080320243899877   -0.003849094131325     -2.977e-14      1.096e-13      1.136e-13      1.011e-04      1.432e-04     2
   5.858722956603640   -0.000052310966130    2.091276711463214   -0.000024031044823     -5.551e-17     -3.354e-12      3.354e-12     -1.488e-06     -2.615e-05     3
   5.877751043427824   -0.006932431655046    2.128874547600614   -0.005640716828834      6.326e-15     -1.586e-14      1.708e-14     -1.970e-04      3.112e-04     4
   5.878912499659565   -0.003684526799053    2.130047779393625   -0.004129307037969      1.596e-14     -4.246e-14      4.536e-14     -9.970e-05      1.193e-04     5
