#Number of input points = 24
#     alpha               Energy
#1.180701754385965 2.928551727687907
#1.181746031746032 2.929364504383132
#1.182790309106099 2.930162274687123
#1.183834586466165 2.930960212526819
#1.184878863826232 2.931758151200808
#1.185923141186299 2.932556088881196
#1.186967418546366 2.933354026531852
#1.188011695906433 2.934151965319903
#1.189055973266500 2.934949903070447
#1.190100250626566 2.935747841858657
#1.191144527986633 2.936545779522346
#1.192188805346700 2.937343718061460
#1.193233082706767 2.938143213066585
#1.194277360066834 2.938797068606128
#1.195321637426900 2.939312645268364
#1.196365914786967 2.939828266809413
#1.197410192147034 2.940343888517197
#1.198454469507101 2.940859509939657
#1.199498746867168 2.941375131627357
#1.200543024227235 2.941890751824720
#1.201587301587302 2.942406373245528
#1.202631578947368 2.942921994954729
#1.203675856307435 2.943437616493716
#1.204720133667502 2.943953238048814
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   2.948693523269333   -0.083563290605742    1.068974708690477   -0.154218265449702      2.534e-17     -1.638e-16      1.658e-16     -2.183e-02      7.997e-02     1
   2.931713472588235   -0.013307034797699    1.188277051581432   -0.015443873163038     -1.981e-14      8.312e-15      2.148e-14     -2.033e-04      3.223e-04     2
   2.936686769849621   -0.005604905802598    1.192242435293833   -0.006213657652251      5.204e-14     -1.710e-14      5.478e-14     -3.775e-05      2.273e-06     3
   2.937724780757806   -0.002553031131130    1.193104860894506   -0.002790726460611     -1.378e-13      5.387e-14      1.480e-13     -6.508e-06     -4.168e-06     4
   2.938168007541667   -0.000919416545032    1.193477358851627   -0.000989941320305     -2.857e-13      1.492e-13      3.224e-13     -9.340e-07     -1.255e-06     5
   2.938704673567095   -0.000346300750671    1.193954444341051   -0.000664198446121      5.685e-14     -4.152e-14      7.040e-14      2.619e-07     -5.013e-07     6
   2.938917195746821   -0.001156269967670    1.194226528998553   -0.002082371749480     -1.380e-13      7.875e-14      1.589e-13      2.739e-07     -3.392e-06     7
   2.939294400836050   -0.002675382143763    1.194704583629105   -0.004768017127373     -5.133e-14      2.586e-14      5.748e-14     -6.454e-06     -1.662e-05     8
   2.940350646476364   -0.006260851522861    1.195866605536178   -0.011411445251976     -7.703e-15      4.250e-15      8.798e-15     -1.210e-04     -7.559e-05     9
   2.942040052254767   -0.000000246275815    1.200845399668339   -0.000000207677582     -7.325e-17      3.751e-10      3.751e-10     -7.714e-11     -1.231e-07    10
