#Number of input points = 12
#     alpha               Energy
#1.195869837296621 2.939583324003740
#1.196495619524406 2.939892309425072
#1.197121401752190 2.940201295489948
#1.197747183979975 2.940510281534559
#1.198372966207760 2.940819266095810
#1.198998748435544 2.941128252158947
#1.199624530663329 2.941437237559864
#1.200250312891114 2.941746223272763
#1.200876095118899 2.942055209373077
#1.201501877346683 2.942364195189417
#1.202127659574468 2.942673179987972
#1.202753441802253 2.942982166006639
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   2.901860180131838   -0.010002851440882    1.115899743104615   -0.009472548772277      1.303e-16      7.787e-15      7.788e-15      1.792e-03     -4.783e-03     1
   2.940766485131885   -0.000000426481421    1.198266068204223   -0.000000360414297      5.228e-16     -2.181e-10      2.181e-10      5.301e-09     -2.131e-07     2
   2.942719012434294   -0.000914010657868    1.202223097556746   -0.001534730797483     -2.390e-12      1.238e-11      1.261e-11     -5.967e-07     -2.988e-06     3
   2.942721297581885   -0.000902152687569    1.202225392811182   -0.001524739800527      3.106e-12     -1.612e-11      1.642e-11      5.462e-07      2.941e-06     4
