#Number of input points = 14
#     alpha               Energy
#1.194618272841051 2.938965352213734
#1.195244055068836 2.939274338311255
#1.195869837296621 2.939583324003740
#1.196495619524406 2.939892309425072
#1.197121401752190 2.940201295489948
#1.197747183979975 2.940510281534559
#1.198372966207760 2.940819266095810
#1.198998748435544 2.941128252158947
#1.199624530663329 2.941437237559864
#1.200250312891114 2.941746223272763
#1.200876095118899 2.942055209373077
#1.201501877346683 2.942364195189417
#1.202127659574468 2.942673179987972
#1.202753441802253 2.942982166006639
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   2.542690942452975   -0.432608594489340    0.754638227521371   -1.783452511691736      3.556e-17     -4.246e-18      3.581e-17      2.726e-01     -6.787e-02     1
   2.940166141456416   -0.000355152793390    1.197051425437821   -0.000601004062516     -1.215e-11     -1.818e-12      1.228e-11     -4.963e-07      7.476e-08     2
   2.940168126005058   -0.000355444640634    1.197053435248690   -0.000601249940968      4.100e-11      6.025e-12      4.144e-11      4.960e-07     -7.117e-08     3
   2.942428760211195   -0.000428547747969    1.201633417255214   -0.000721137302550     -2.020e-11      6.058e-11      6.386e-11     -2.309e-07     -6.853e-07     4
   2.942429672656484   -0.000425814350967    1.201634339233802   -0.000718833264331      2.064e-11     -6.179e-11      6.515e-11      2.253e-07      6.814e-07     5
