#Number of input points = 20
#     alpha               Energy
#1.195244055068836 2.939274338311255
#1.195869837296621 2.939583324003740
#1.196495619524406 2.939892309425072
#1.197121401752190 2.940201295489948
#1.197747183979975 2.940510281534559
#1.198372966207760 2.940819266095810
#1.198998748435544 2.941128252158947
#1.199624530663329 2.941437237559864
#1.200250312891114 2.941746223272763
#1.200876095118899 2.942055209373077
#1.201501877346683 2.942364195189417
#1.202127659574468 2.942673179987972
#1.202753441802253 2.942982166006639
#1.203379224030038 2.943291151158203
#1.204005006257822 2.943600137094645
#1.204630788485607 2.943909123177364
#1.205256570713392 2.944218108758907
#1.205882352941177 2.944527094312102
#1.206508135168961 2.945079228404916
#1.207133917396746 2.945984377389701
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   2.647493591051203   -0.239234454802796    0.492211411661538   -0.778913117503911      4.156e-17     -1.966e-17      4.598e-17      1.254e-01     -6.850e-02     1
   2.939867809062975   -0.000623094666574    1.196447945288732   -0.001055889251829      1.732e-11      1.854e-11      2.537e-11     -6.317e-07      6.793e-07     2
   2.939870346898308   -0.000625811879951    1.196450518100011   -0.001058186758922     -7.770e-12     -8.345e-12      1.140e-11      6.372e-07     -6.793e-07     3
   2.940782752585785   -0.000000353674473    1.198299014354319   -0.000000298877890     -4.513e-17      1.710e-10      1.710e-10      1.062e-09     -1.768e-07     4
   2.942303637053751   -0.000753943549815    1.201382080426425   -0.001269689631559     -3.125e-12      2.669e-12      4.109e-12     -9.289e-07     -7.723e-07     5
   2.942307339131401   -0.000750849489365    1.201385825315759   -0.001267077696260     -4.363e-12      3.658e-12      5.694e-12      9.222e-07      7.747e-07     6
   2.944836037795681   -0.000005484271736    1.206508197797447   -0.000004604590844     -2.094e-16      1.760e-11      1.760e-11     -7.345e-08     -2.760e-06     7
