real,imag,alpha,theta
2.5164426235891315,-0.4761327197268878,0.5923415637925238,-1.1567007124817001
2.928560794545126,-1.8017985663716005e-05,1.1806944880456476,-9.98653752062395e-06
2.92853955595491,-3.9314181017958276e-05,1.1806668358490386,-2.180282436427559e-05
2.9285459629548742,-3.439679602480605e-05,1.180675148947244,-1.9071434641310845e-05
2.928539059624279,-3.96654296562563e-05,1.1806661931857678,-2.199804891131628e-05
2.9285464053194605,-3.4028613417005294e-05,1.1806757231697356,-1.886702459703606e-05
2.9285478304463872,-3.2807033169881954e-05,1.1806775767174376,-1.818893377602639e-05
2.9285465873589014,-3.387572519467827e-05,1.18067595956122,-1.878214755499911e-05
2.9322075812106374,-0.01285089005324518,1.1886732116988832,-0.014711860014369861
2.931682047809577,-0.013334293906128506,1.188251592889897,-0.015488747668949657
2.931917772813387,-0.013664632474128502,1.188700518321345,-0.015681322935644434
2.9317134725882346,-0.01330703479769888,1.188277051581432,-0.01544387316303811
2.9320348356376407,-0.013692878395855592,1.188835319931236,-0.015659580055721135
2.932449764233961,-0.01353869981125424,1.1892423177689226,-0.01539360810812063
2.932032512958875,-0.013430013210360086,1.18870640387154,-0.015444863691229407
2.9323922680383525,-0.013456645283752984,1.1891347292366246,-0.0153250439344675
2.9895914847721365,-0.09622623662277772,1.064209050852602,-0.2947520515599375
2.9321064865254427,-0.013444776548270294,1.1887995179790858,-0.015430128561099727
2.477082237337299,-0.5809004075279574,0.7143976862371444,-1.4692250770922741
2.9409892026713655,-0.01934212796228754,1.2011815322098522,-0.018212546576223704
2.9405044346536418,-0.013792745408493826,1.1983510902344323,-0.013518208114473093
2.9322172197159295,-0.013923489062499727,1.1890703845011672,-0.015831788870145306
2.9342886162465507,-0.021777979116494237,1.1736876101801628,-0.03197322639254954
2.9322565644058662,-0.013833478821607719,1.1890917532173282,-0.01573201850343594
2.6008444735043357,-0.29912503756563175,0.6078911504813932,-0.5079520992663653
2.9322442212958553,-0.013870324989926632,1.1890881997921834,-0.01577203179561959
2.932188117957524,-0.013861015724785429,1.1890184035646358,-0.015783955750324246
2.9322422119311384,-0.01386708311942666,1.189084313176979,-0.01576915838433632
2.9322738590153956,-0.013869629779957047,1.1891223579742694,-0.015759421468871635
2.4843764827141555,-0.5598783574936917,0.6837782683311799,-1.416413647670229
2.9219614887101137,-0.02387251664355792,1.183817145873382,-0.02835644993656665
2.9322199736007244,-0.013923017697441926,1.1890733410321592,-0.01583097989073903
2.931007133571735,-0.011659234662258018,1.1869202297142216,-0.014063647503799001
2.932254123497049,-0.013833946273294753,1.1890891452780967,-0.015732791744316705
2.9291651727873758,-0.014452413564465963,1.18831529323871,-0.016733733858744056
2.9308342104699676,-0.005986730609674901,1.1773797622021018,-0.005487121403958032
2.9321030368015593,-0.015431450048935277,1.1645307964883875,-0.020468257751677522
2.9333307648851537,-0.01698184914899341,1.1629862490778267,-0.025474114922200034
2.547162376035459,-0.43210643148194083,0.7510717134827051,-1.7706805418405134
2.4717052184805923,-0.6247921691904058,1.366899371505599,-2.0472422717867693
2.4956782041914485,-0.5533307177817776,1.1243503682160396,-1.9886415397233035
2.498782945370948,-0.5445899071237118,1.0956196680554213,-1.9792072823157767
2.5071028817348604,-0.5217439391443801,1.0216775826709288,-1.9515010208705263
2.4753972230901597,-0.6133049355178438,1.3270915389081281,-2.039694587624382
2.407089744656854,-0.8715488659472702,2.270281618083123,-2.117020365194496
2.4171967574219226,-0.82598775478697,2.0979222384080254,-2.1126247948412957
