#Number of input points = 17
#     alpha               Energy
#1.392184368737475 3.042590471935972
#1.393987975951904 3.043302674340627
#1.395791583166333 3.044014875787389
#1.397595190380761 3.044727077747530
#1.399398797595190 3.045439279488295
#1.401202404809619 3.046151481885848
#1.403006012024048 3.046863683361246
#1.404809619238477 3.047575886199812
#1.406613226452906 3.048260380448558
#1.408416833667335 3.048785607797815
#1.410220440881763 3.049319071107305
#1.412024048096192 3.049852558224721
#1.413827655310621 3.050386046176293
#1.415631262525050 3.050919533711412
#1.417434869739479 3.051448099385220
#1.419238476953908 3.052099589494031
#1.421042084168336 3.053060057699148
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   3.047591022473394   -0.000008022041793    1.404850692147028   -0.000007270236704     -1.514e-15      6.868e-12      6.868e-12     -1.034e-06     -4.002e-06     1
   3.048561247676004   -0.001092713417332    1.407599099565524   -0.001698771148371      3.455e-14     -1.181e-13      1.231e-13      1.234e-04     -8.408e-05     2
   3.048634000334677   -0.000244507663217    1.407797407266095   -0.000839390440334      3.968e-16     -2.179e-15      2.215e-15      3.499e-05      3.038e-05     3
   3.049660806835706   -0.000880819137626    1.411298822084183   -0.002607578420096      4.628e-16     -1.824e-14      1.824e-14      3.099e-05      1.070e-04     4
   3.050097701621948   -0.003026205137946    1.411551297369962   -0.004693338825567     -9.449e-16      2.795e-14      2.797e-14      8.242e-04      1.128e-04     5
   3.051456850562645   -0.000697870853253    1.418049298271280   -0.002110917658224     -2.517e-14     -2.113e-14      3.287e-14     -1.278e-04      4.728e-05     6
   3.054947979690434   -0.002603021533424    1.422020984877237   -0.003922955540562     -2.794e-14     -1.932e-14      3.397e-14      2.401e-04     -2.148e-03     7
