#Number of input points = 18
#     alpha               Energy
#1.386773547094188 3.040453867126417
#1.388577154308617 3.041166068664190
#1.390380761523046 3.041878270201962
#1.392184368737475 3.042590471935972
#1.393987975951904 3.043302674340627
#1.395791583166333 3.044014875787389
#1.397595190380761 3.044727077747530
#1.399398797595190 3.045439279488295
#1.401202404809619 3.046151481885848
#1.403006012024048 3.046863683361246
#1.404809619238477 3.047575886199812
#1.406613226452906 3.048260380448558
#1.408416833667335 3.048785607797815
#1.410220440881763 3.049319071107305
#1.412024048096192 3.049852558224721
#1.413827655310621 3.050386046176293
#1.415631262525050 3.050919533711412
#1.417434869739479 3.051448099385220
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   3.043744304276242   -0.000000761811998    1.395106376478374   -0.000000691431367     -2.602e-18      7.307e-11      7.307e-11      5.508e-10     -3.809e-07     1
   3.048272161024368   -0.000874355613830    1.406873393404771   -0.001425087637654      7.231e-14     -1.179e-13      1.383e-13     -1.238e-04     -8.355e-05     2
   3.048487796845692   -0.000255110750609    1.407258721756553   -0.000803145615995      5.958e-14     -1.271e-13      1.404e-13     -5.806e-05      1.710e-04     3
   3.048495470694275   -0.002565673452338    1.407783986626903   -0.004334845334322      4.246e-14     -5.361e-14      6.839e-14     -2.494e-04     -1.587e-04     4
   3.049021911576031   -0.001095972911111    1.408827714465733   -0.002951440893762      1.498e-14     -2.135e-14      2.608e-14     -1.257e-04      5.396e-04     5
   3.050074023118996   -0.005819216726685    1.412161600338037   -0.009302418288257     -6.404e-16      3.565e-15      3.622e-15     -3.801e-04     -6.295e-04     6
   3.050069443497845   -0.002202345150511    1.412607261352918   -0.005924927438118      3.995e-16     -2.526e-15      2.558e-15     -5.803e-04      1.111e-03     7
