#Number of input points = 18
#     alpha               Energy
#1.384969939879759 3.039741665657683
#1.386773547094188 3.040453867126417
#1.388577154308617 3.041166068664190
#1.390380761523046 3.041878270201962
#1.392184368737475 3.042590471935972
#1.393987975951904 3.043302674340627
#1.395791583166333 3.044014875787389
#1.397595190380761 3.044727077747530
#1.399398797595190 3.045439279488295
#1.401202404809619 3.046151481885848
#1.403006012024048 3.046863683361246
#1.404809619238477 3.047575886199812
#1.406613226452906 3.048260380448558
#1.408416833667335 3.048785607797815
#1.410220440881763 3.049319071107305
#1.412024048096192 3.049852558224721
#1.413827655310621 3.050386046176293
#1.415631262525050 3.050919533711412
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   3.043470915054303   -0.000000588290653    1.394414036309029   -0.000000534206167     -3.668e-17     -1.054e-10      1.054e-10      9.126e-10     -2.941e-07     1
   3.048366290833520   -0.000054289216296    1.407055397058957   -0.000262547260163      5.680e-15      1.247e-13      1.248e-13     -7.690e-05      8.471e-05     2
   3.048431097618189   -0.000516816090396    1.407104419075448   -0.000752730094311     -4.849e-17      5.233e-15      5.233e-15     -4.885e-05     -1.112e-04     3
   3.049306328439866   -0.001830515199556    1.409534245526994   -0.002849306363827      5.458e-15     -3.826e-14      3.864e-14     -1.162e-04     -2.531e-04     4
   3.049143550151245   -0.000464505827595    1.409531828950017   -0.001474046243802     -2.655e-15      3.075e-14      3.086e-14     -2.239e-04      4.186e-04     5
   3.050661493511803   -0.000771371042676    1.415128702223685   -0.002443147070347      7.808e-15      1.486e-14      1.679e-14     -1.026e-03      6.769e-04     6
   3.052831039832384   -0.003745841982990    1.417683235655916   -0.005264820782489      1.257e-14      2.141e-14      2.483e-14      1.811e-04     -7.803e-04     7
