real,imag,alpha,theta
3.0376041516463053,-2.4354163564856962e-05,1.3795568206738973,-2.2355821146056498e-05
3.037604229602474,-2.3154259721489197e-05,1.379557041398972,-2.125416151359654e-05
3.0376041382842973,-2.455498804484659e-05,1.3795567826455353,-2.2540206726926824e-05
3.037604170513434,-2.405908781959784e-05,1.3795568759772632,-2.208489357355854e-05
3.037604104043748,-2.505706967862525e-05,1.3795566862022488,-2.300118991573867e-05
3.037604178992819,-2.3928164398409283e-05,1.3795569003018955,-2.1964687981572883e-05
3.037604133212507,-2.4630878785909804e-05,1.3795567681937153,-2.2609885595248024e-05
3.037604194792476,-2.3682053695084885e-05,1.379556945668768,-2.1738725863184237e-05
3.037604118904611,-2.4842598922396355e-05,1.379556727639698,-2.2804275735040968e-05
3.0376041767828577,-2.396242002615399e-05,1.3795568939502927,-2.1996139336331153e-05
3.037604191516055,-2.372846165655983e-05,1.3795569371462648,-2.1781329368416273e-05
3.037604181072725,-2.3895485585815224e-05,1.379556906352367,-2.1934684016065845e-05
3.03760408439066,-2.539939127098308e-05,1.3795566193863615,-2.331555616646943e-05
3.037604146401862,-2.4438399152750463e-05,1.379556804765346,-2.2433166382912673e-05
3.050216127845661,-0.005436251563841414,1.4124140158878569,-0.008636704417809605
2.596121662264681,-0.53110999633709,1.3536199659379156,-2.0509932052549766
3.0371780451720967,-0.0030746292162837376,1.3785421912726805,-0.00564268159178549
3.03724448783173,-0.0030625998486418253,1.3786262322908298,-0.005631289605257573
3.0393394635880626,-0.0019742606232898974,1.3839692977456257,-0.0036111568595946224
3.039353432179738,-0.0019711319060699826,1.383986970490585,-0.003608248230011837
3.038457269118769,-0.0027426636005175096,1.3817551357188582,-0.005022014068503726
3.0384892940992976,-0.002732503478834292,1.3817956206462765,-0.005012556712560839
3.05500417161592,-0.006356694102770378,1.422984876772199,-0.008940152667773451
2.4360425846519487,-1.1974407049930362,4.474441965237312,-2.1417249589941982
3.039104655553281,-0.0008189422728355921,1.3833599529229388,-0.0015029581700225772
3.0391072839839945,-0.0008271602213583689,1.3833632968046574,-0.00151047664863792
3.0395029858418656,-0.000506550737639593,1.3843669138691073,-0.0009286081439700231
3.0395042944979833,-0.0005108529830848507,1.3843685759915103,-0.0009325421171273682
3.0500780319882366,-0.0058045087086666045,1.4121678501268013,-0.009276849603540738
2.6163485735088976,-0.4726696721801599,1.1218047200039227,-1.985809472480008
3.050074023118996,-0.0058192167266846355,1.412161600338037,-0.009302418288257385
3.0532747563753753,-0.010658845173851782,1.4215471453194901,-0.015482875265835446
3.057078480294339,-0.0007437416564518484,1.424531119531429,-0.001982675003946434
3.0570617876671315,-0.0007569052719554264,1.4245181000461875,-0.001998668984419113
3.048129650147423,-0.012327938046790053,1.412356008949148,-0.02064775131299763
3.057079317308743,-0.0007429633505427361,1.4245317653937042,-0.001981710206027306
