#Number of input points = 20
#     alpha               Energy
#0.984397163120567 2.253910602221005
#0.985189820609095 2.254195652944601
#0.985982478097622 2.254480703511844
#0.986775135586149 2.254765754031462
#0.987567793074677 2.255050804753640
#0.988360450563204 2.255335854694567
#0.989153108051731 2.255620905370673
#0.989945765540259 2.255905955973892
#0.990738423028786 2.256191006368483
#0.991531080517313 2.256476057050151
#0.992323738005841 2.256761107734019
#0.993116395494368 2.257046158420263
#0.993909052982895 2.257379416192026
#0.994701710471423 2.257907244970340
#0.995494367959950 2.258434651374480
#0.996287025448477 2.258962056809424
#0.997079682937004 2.259489462193907
#0.997872340425532 2.260016868599786
#0.998664997914059 2.260544273428648
#0.999457655402586 2.261071678775471
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   2.255165853623361   -0.000000393371126    0.987887717492086   -0.000000553641520     -3.382e-17     -4.813e-11      4.813e-11      2.662e-09     -1.966e-07     1
   2.257232872683394   -0.000167144377390    0.993748657027364   -0.000489686647316      4.707e-14      1.065e-14      4.826e-14     -3.265e-05     -8.090e-07     2
   2.257301147372343   -0.000573228452254    0.994069413182907   -0.001587630500528      8.779e-14     -3.026e-15      8.784e-14     -7.275e-05     -2.411e-06     3
   2.257648181885197   -0.000362438678964    0.994183406615394   -0.000608668338180      2.316e-13     -3.419e-15      2.317e-13      1.310e-04     -1.727e-04     4
   2.257573886751066   -0.001356488638217    0.995084717878217   -0.003646967001856     -3.625e-14      1.080e-14      3.782e-14     -1.697e-04     -2.943e-05     5
   2.258372191079823   -0.001008906910384    0.995164833018681   -0.001694104736305     -3.521e-14      9.994e-15      3.661e-14      4.364e-04     -7.167e-04     6
   2.259936745208170   -0.001824917134462    0.997469485756315   -0.003270427944281      2.360e-14     -1.785e-14      2.959e-14      1.593e-03     -1.090e-03     7
   2.258927038882176   -0.002900431198282    0.999486551372683   -0.006887276745276      8.013e-15     -1.053e-14      1.323e-14     -4.495e-04     -3.990e-04     8
   2.263051761729996   -0.000150730234850    1.004332582734096   -0.001861896101281     -2.415e-15      4.605e-15      5.200e-15      2.182e-03      6.598e-04     9
