#Number of input points = 22
#     alpha               Energy
#0.979959919839679 2.251677416373833
#0.980627922511690 2.252247732385083
#0.981295925183701 2.252798842810563
#0.981963927855711 2.253035577744287
#0.982631930527722 2.253275800415426
#0.983299933199733 2.253516023401939
#0.983967935871743 2.253756245968456
#0.984635938543754 2.253996469553787
#0.985303941215765 2.254236692355200
#0.985971943887776 2.254476915310105
#0.986639946559786 2.254717138410354
#0.987307949231797 2.254957361038523
#0.987975951903808 2.255197584151456
#0.988643954575818 2.255437806810903
#0.989311957247829 2.255678029859994
#0.989979959919840 2.255918252519484
#0.990647962591850 2.256158476422927
#0.991315965263861 2.256398699263921
#0.991983967935872 2.256638921996716
#0.992651970607882 2.256879144984199
#0.993319973279893 2.257119299210818
#0.993987975951904 2.257428994681515
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   2.013616353946592   -0.209652619458708    0.429771487670630   -1.577431505658351     -2.682e-17      5.441e-18      2.737e-17      1.148e-01     -5.504e-02     1
   2.252555340522192   -0.000019454923794    0.980627068683822   -0.000027659686513     -2.884e-16     -8.389e-13      8.389e-13      2.554e-07     -5.734e-06     2
   2.254805951033813   -0.000000271022330    0.986886913835142   -0.000000381831177      3.644e-17      1.180e-11      1.180e-11     -9.558e-10     -1.355e-07     3
   2.255314745046710   -0.000000269096959    0.988301748794970   -0.000000378575858      3.915e-17     -2.108e-11      2.108e-11     -2.926e-10     -1.345e-07     4
   2.257082765233090   -0.000002539620623    0.993218245365825   -0.000003555540479      1.360e-17     -4.558e-12      4.558e-12     -2.343e-08     -1.270e-06     5
