#Number of input points = 13
#     alpha               Energy
#0.983166248955723 2.253467948210280
#0.983876357560568 2.253723313675982
#0.984586466165413 2.253978678492805
#0.985296574770259 2.254234043547244
#0.986006683375104 2.254489408111891
#0.986716791979950 2.254744772648957
#0.987426900584795 2.255000137634646
#0.988137009189641 2.255255502413677
#0.988847117794486 2.255510867238284
#0.989557226399332 2.255766232367754
#0.990267335004177 2.256021597333388
#0.990977443609023 2.256276962164824
#0.991687552213868 2.256532326892393
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   2.253844618292507   -0.000000310868203    0.984213676737310   -0.000000439157155     -9.367e-13     -4.943e-11      4.944e-11     -9.824e-11     -1.554e-07     1
   2.254600123148265   -0.000539316310454    0.986316253007187   -0.001522316012646     -4.537e-12     -1.446e-11      1.515e-11     -1.992e-07      6.376e-07     2
   2.254600923669880   -0.000541872789494    0.986317371449915   -0.001525918076725     -4.889e-12     -1.566e-11      1.641e-11      2.010e-07     -6.406e-07     3
   2.255285324863709   -0.000238114993061    0.988220317452870   -0.000670817123000      8.282e-12      4.080e-11      4.163e-11     -5.635e-08      2.785e-07     4
   2.255285551218256   -0.000239230343182    0.988220633212080   -0.000672386153570     -1.127e-11     -4.961e-11      5.087e-11      5.683e-08     -2.792e-07     5
