alpha,energy
1.7,2.42767558907034
2.1,2.5720105713180095
2.15,2.58603564766687
1.85,2.48650243853554
2.25,2.61124812603904
2.3,2.62221818277421
2.35,2.63212215218308
2.45,2.64889413040219
2.5,2.65589651953683
2.55,2.6620336768522894
