alpha,root1,root2,root3,root4,root5,root6
0.2,0.07937810464066,0.10685389736185,0.16393234170016,0.18608832962455,0.21043763800613,0.23413392338193
0.25,0.12345321165977,0.16504205019111,0.24654091588256,0.28768954922029,0.32559834621354,0.36273606103639
0.3,0.17605836254233,0.2343165895488,0.32824999755997,0.40753138509776,0.46401708530682,0.51621583639502
0.35,0.2363461623858,0.27446233790134,0.31414055241407,0.41905116319005,0.53904569961961,0.62243365908504
0.4,0.23489797321513,0.30373239239618,0.40268095125075,0.53685286951896,0.65633130530668,0.77188410302342
0.45,0.21212642605669,0.37662838247341,0.49989996765697,0.66147290701693,0.68973058814155,0.8915378409752
0.5,0.20446562290932,0.45443237993755,0.60493409813251,0.68241469649285,0.81409826527416,1.05704277086171
0.55,0.20346936487213,0.53251115755545,0.69461339914439,0.71808190720189,0.96368086841302,1.23562634559043
0.6,0.20559694996128,0.59772303155249,0.72987776339003,0.8371890919186,1.12388969334973,1.42182401014315
0.65,0.20657024899242,0.63358320334176,0.80241288536257,0.96405707771967,1.29216939259731,1.61360924292172
0.7,0.20657260785357,0.64955483073723,0.9030047706028,1.09834404104347,1.46746380447374,1.81015295015788
0.75,0.2055506925101,0.65707338148164,1.01898221064089,1.24006644772031,1.64940697116198,2.01137422398819
0.8,0.20377931283047,0.66143463065514,1.14586167990147,1.38878354838502,1.83333989667731,2.21650510867166
0.85,0.20191848115123,0.66424304182733,1.28231664178709,1.54439507505179,2.01392370306781,2.30377288876866
0.9,0.19971900300427,0.66600261198572,1.42773224892369,1.70611319743152,2.16280506190668,2.37721625111443
0.95,0.19753263218017,0.66730611598043,1.58158838985353,1.87225787522185,2.24159027937739,2.52609890081974
1.0,0.19446364738563,0.66778951361017,1.74342395963904,2.03661914627529,2.28513847849458,2.72114351757546
1.05,0.19050743719534,0.667453145741,1.91265184882716,2.17182501121998,2.35100276254967,2.93248148354578
1.1,0.18726049903119,0.66762075829185,2.08852108630362,2.23511746679424,2.4912903135636,3.15169424316617
1.15,0.18461444867591,0.66831724219387,2.25119203581027,2.27891922609225,2.67478817548362,3.3758691556219
1.2,0.18310325047424,0.66991396140371,2.27147525817291,2.46259936814391,2.8741620213686,3.60416046015874
1.25,0.18301948691396,0.67291328747419,2.28356343781121,2.65733002087735,3.08207974703792,3.83542232604186
1.3,0.18476805310908,0.67766708843273,2.29535976820097,2.85783109348064,3.29633894406923,4.06849474611148
1.35,0.18884940073847,0.68468485227031,2.30838233938102,3.06459073216286,3.51799493769557,4.30428893539743
1.4,0.19466151541904,0.69298972924454,2.32210441595982,3.27502612101047,3.74383336066479,4.54054087283127
1.45,0.20062364874581,0.70214069397731,2.33606772416422,3.48698058577227,3.96818694599024,4.7717941338985
1.5,0.20932976352067,0.71385108650761,2.35236088693722,3.70465962799284,4.19818782334272,4.99821675627287
1.55,0.21954870506996,0.72709288306029,2.36996870001028,3.92553635864762,4.42893828167342,5.20952148792563
1.6,0.2309128092744,0.74164112587588,2.38859425266923,4.14917775417233,4.65792944529477,5.38663366362347
1.65,0.24303765153634,0.7571822715535,2.40792785452416,4.37522189727342,4.88075669071582,5.52096072864721
1.7,0.25563214676344,0.77342068337836,2.42767558907034,4.60333043546435,5.08933138916796,5.63295116951167
1.75,0.26838026859556,0.79004778453328,2.44753179078544,4.83314818426605,5.26969141940301,5.75474239711092
1.8,0.28106182213652,0.80680755929851,2.46720969772535,5.06423629292992,5.40749431799598,5.9100579912858
1.85,0.29348856698943,0.82346350671127,2.48650243853554,5.29579872138532,5.5035554828567,6.10146711556915
1.9,0.30587697598373,0.84020392875905,2.50563778660723,5.52070799616586,5.57969363579291,6.31789810756791
2.0,0.32835186090193,0.87158575875979,2.54092314136397,5.65536117544232,6.00267612775255,6.78103092556873
2.05,0.33816555724995,0.88577501274148,2.556712752106,5.68853916088191,6.23582714140931,7.01780369725244
2.1,0.34767765659081,0.89967545128099,2.57201057131801,5.71713735810795,6.46956752037246,7.25645068135502
2.15,0.3561706198994,0.91256149739743,2.58603564766687,5.74159443711802,6.70258896060076,7.49468153945296
2.25,0.37119264779666,0.93583402290375,2.61124812603904,5.78232950700601,7.1660420504136,7.96716826634067
2.3,0.37750211278049,0.9460398047071,2.62221818277421,5.79915136694791,7.39569530401023,8.19932871247884
2.35,0.38302530824961,0.95526667088998,2.63212215218308,5.81397404990721,7.62376298833795,8.42891842244307
2.45,0.39187241842251,0.97097706694675,2.64889413040219,5.83850019464576,8.07350151546428,8.87521989503701
2.5,0.39531674780682,0.97758398642603,2.65589651953683,5.84863040895216,8.29489342301837,9.08464235565614
2.55,0.39810149767026,0.98338878681193,2.66203367685229,5.85770880172042,8.51309945551631,9.20532052536557
2.6,0.40034703973523,0.98847385885896,2.667429098164,5.8655100671379,8.72860784221742,9.22147665621607
