alpha,root2,root3
0.20,0.16399338406364999,0.20995029505662999
0.25,0.24679180929038999,0.31899264057562998
0.30,0.33001780426834998,0.45320021037072999
0.35,0.41235235984809998,0.59272425297914999
0.40,0.51068496398513996,0.6064403947825
0.45,0.54071804163642001,0.68999162633788003
0.50,0.60619961787925003,0.82636433137418996
0.55,0.71722369111488005,0.97489705823508999
0.60,0.83642040328371003,1.13529485169153
0.65,0.96310216063484,1.30399389040514
0.70,1.09733458868705,1.48004620904299
0.75,1.2389968979908299,1.6615729986852099
0.80,1.3879776993161299,1.84615961296805
0.85,1.54404961927967,2.0248622779122201
0.90,1.7066837786278299,2.1652310023563999
0.95,1.8744700421889,2.2322620049067501
1.00,2.04210341843992,2.2684785543210801
1.05,2.1795181899346501,2.32962347783947
1.10,2.2346976435221602,2.4763214207600299
1.15,2.2536909409815999,2.6631652601192699
1.20,2.2653034210343002,2.8503588433110298
1.25,2.2754218538945499,2.9037892175446198
1.30,2.28586751327986,2.9296554294826902
1.35,2.2979451176815302,2.9540092568801501
1.40,2.3108281595061202,2.97815969959245
1.45,2.3241433785258998,2.9984256902124198
1.50,2.3398127954258801,3.0208518625524801
1.55,2.3569407470641002,3.0434247238410301
1.60,2.37507787037829,3.0659429311087401
1.65,2.3939780961346502,3.0882051461340398
1.70,2.4132901216268201,3.109915256336
1.75,2.4327373203088198,3.13111951918208
1.80,2.45203497507433,3.1514671232501201
1.85,2.4709627338404001,3.1708338800720099
1.90,2.4897408377980002,3.1896094491232598
2.00,2.5243654531173001,3.2228729308261301
2.05,2.5398341020756399,3.2372964955835699
2.10,2.5548422011160201,3.2510623399529002
2.15,2.5685014225703,3.2632658171840698
2.25,2.5931119743942799,3.28498388845553
2.30,2.6038337199459902,3.2942305055057401
2.35,2.6134835994155599,3.30245435899216
2.45,2.62979612435262,3.3160396078112
2.50,2.6365750672965702,3.3215957125382798
2.55,2.6425277222958301,3.32639465535039
2.60,2.6477460265269901,3.3304779732168699
