alpha,root1,root2
0.20,0.106725713,0.163993384
0.25,0.16477666,0.246791809
0.30,0.23385663,0.330017804
0.35,0.312943373,0.41235236
0.40,0.401250813,0.510684964
0.45,0.496073121,0.540718042
0.50,0.536121537,0.606199618
0.55,0.540141482,0.717223691
0.60,0.544032907,0.836420403
0.65,0.546809571,0.963102161
0.70,0.548247688,1.097334589
0.75,0.548047774,1.238996898
0.80,0.5472893,1.387977699
0.85,0.546266611,1.544049619
0.90,0.544846185,1.706683779
0.95,0.543427855,1.874470042
1.00,0.541144051,2.042103418
1.05,0.537979033,2.17951819
1.10,0.535507045,2.234697644
1.15,0.533661687,2.253690941
1.20,0.532874077,2.265303421
1.25,0.533545011,2.275421854
1.30,0.536037515,2.285867513
1.35,0.540839539,2.297945118
1.40,0.547300779,2.31082816
1.45,0.553961407,2.324143379
1.50,0.563284872,2.339812795
1.55,0.574019882,2.356940747
1.60,0.585833743,2.37507787
1.65,0.598388988,2.393978096
1.70,0.611362852,2.413290122
1.75,0.624455117,2.43273732
1.80,0.637433362,2.452034975
1.85,0.650138111,2.470962734
1.90,0.662792061,2.489740838
2.00,0.68573668,2.524365453
2.05,0.695725814,2.539834102
2.10,0.705407646,2.554842201
2.15,0.714104677,2.568501423
2.25,0.729388338,2.593111974
2.30,0.735795457,2.60383372
2.35,0.741394121,2.613483599
2.45,0.750322111,2.629796124
2.50,0.75378636,2.636575067
2.55,0.75658924,2.642527722
2.60,0.758882947,2.647746027
