#Number of input points = 12
#     alpha               Energy
#0.425375939849624 0.518603072919154
#0.426315789473684 0.518762320211799
#0.427255639097744 0.518914451596204
#0.428195488721805 0.519061175303229
#0.429135338345865 0.519204208857019
#0.430075187969925 0.519345276064717
#0.431015037593985 0.519486105258190
#0.431954887218045 0.519628427515851
#0.432894736842105 0.519773973773313
#0.433834586466165 0.519924472448411
#0.434774436090226 0.520081648108964
#0.435714285714286 0.520247218483654
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   0.063679693698013   -0.162175115369924    0.470374395615213   -0.438243999327498      1.028e-16     -7.700e-17      1.284e-16     -2.648e-01     -1.379e-01     1
   0.519231135390300   -0.000349526760004    0.429289385030954   -0.005476676246227      1.707e-12     -2.535e-13      1.725e-12     -6.271e-07     -1.268e-07     2
   0.519233635380548   -0.000348989680260    0.429298059965261   -0.005472873412428      5.316e-13     -8.625e-14      5.386e-13      6.228e-07      1.417e-07     3
   0.519365774337134   -0.001189063287360    0.430379253765133   -0.027600825499614      1.368e-17     -6.692e-17      6.831e-17      1.681e-06      3.345e-07     4
