#Number of input points = 14
#     alpha               Energy
#1.255137844611529 2.257392346203180
#1.259314954051796 2.258071214945437
#1.263492063492063 2.258751561438912
#1.267669172932331 2.259433665104582
#1.271846282372598 2.260372500731378
#1.276023391812866 2.261403937920070
#1.280200501253133 2.262434409582882
#1.284377610693400 2.263491023298275
#1.288554720133668 2.264554918766914
#1.292731829573935 2.265625877980113
#1.296908939014202 2.266429046145718
#1.301086048454470 2.267157229348425
#1.305263157894737 2.267888090785263
#1.309440267335004 2.268891498023445
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   2.259245153343628   -0.000506420209462    1.267217281142354   -0.003016127856119      2.032e-16      2.351e-16      3.108e-16      9.128e-06      1.409e-06     1
   2.260291085306331   -0.001574564980417    1.269959558800262   -0.004983811673016     -1.327e-14     -9.742e-15      1.647e-14      9.847e-06      2.549e-05     2
   2.265602229229676   -0.000106825971917    1.292919698971005   -0.000182538293567      1.487e-15     -8.694e-14      8.695e-14      5.935e-08     -5.131e-05     3
   2.267287589552884   -0.000943183333662    1.302300079355141   -0.006151290475056     -3.817e-16     -2.309e-15      2.340e-15      8.119e-05      1.050e-04     4
   2.261240980465073   -0.011270748766042    1.305184809097842   -0.022639502916025     -1.942e-16     -4.823e-17      2.001e-16     -2.999e-03     -1.684e-03     5
   2.255898773704877   -0.013897905520022    1.351011352711449   -0.071314504949178      4.033e-18     -7.257e-17      7.268e-17      3.732e-03      1.317e-02     6
