Transition Orbital,0.2,0.2125,0.225,0.2375,0.25,0.2625,0.275,0.2875,0.3,0.3125,0.325,0.3375,0.35,0.3625,0.375,0.3875,0.4,0.4125,0.425,0.4375,0.45,0.4625,0.475,0.4875,0.5,0.5125,0.525,0.5375,0.55,0.5625,0.575,0.5875,0.6,0.6125,0.625,0.6375,0.65,0.6625,0.675,0.6875,0.7,0.7125,0.725,0.7375,0.75,0.7625,0.775,0.7875,0.8,0.8125,0.825,0.8375,0.85,0.8625,0.875,0.8875,0.9,0.9125,0.925,0.9375,0.95,0.9625,0.975,0.9875,1,1.0125,1.025,1.0375,1.05,1.0625,1.075,1.0875,1.1,1.1125,1.125,1.1375,1.15,1.1625,1.175,1.1875,1.2,1.2125,1.225,1.2375,1.25,1.2625,1.275,1.2875,1.3,1.3125,1.325,1.3375,1.35,1.3625,1.4,1.4125,1.425,1.4375,1.45,1.4625,1.475,1.4875,1.5,1.5125,1.525,1.5375,1.55,1.5625,1.575,1.5875,1.6,1.6125,1.625,1.6375,1.65,1.6625,1.675,1.6875,1.7,1.7125,1.725,1.7375,1.75,1.7625,1.775,1.7875,1.8,1.8125,1.825,1.8375,1.85,1.8625,1.875,1.8875,1.9,1.9125,1.925,1.96,1.9625,1.975,1.9875,2,2.0125,2.025,2.0375,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5
1/A1,0.02843453,,,,0.042355,,,,0.059586487,,,,0.081523607,,,,0.10849958,,,,0.142981278,,,,0.185681066,,,,0.236150221,,,,0.26826153,,,,0.330688366,,,,0.40231302,,,,0.483742283,,,,0.575007926,,,,0.675588277,,,,0.784364554,,,,0.900817809,,,,1.017425616,,,,1.145651249,,,,1.277993791,,,,,,,,1.550319243,,,,,,,,1.839752161,,,,,,2.166097603,,,,,,,,,,,,,,,,2.902995774,,,,,,,,3.165750447,,,,,,,,3.297907753,,,,,,,,3.349909955,,,,,,,3.455371881,,,,,3.370239346,,3.376889633,,3.387223235,,,,
2/A1,0.05676455,,,,0.079725016,,,,0.107717802,,,,0.131817815,,,,0.166810467,,,,0.206062523,,,,0.252056695,,,,0.302982221,,,,0.361069014,,,,0.426380362,,,,0.498025475,,,,0.574932521,,,,0.658980355,,,,0.750276461,,,,0.845369851,,,,0.947304337,,,,1.065011803,,,,1.190386401,,,,1.325276956,,,,,,,,1.603885259,,,,,,,,1.902743542,,,,,,2.266816696,,,,,,,,,,,,,,,,2.914267576,,,,,,,,3.178752052,,,,,,,,3.333071848,,,,,,,,3.425922978,,,,,,,3.58131668,,,,,3.449598604,,3.46456018,,3.482063868,,,,
3/A1,0.094040846,,,,0.140755972,,,,0.192616741,,,,0.251136154,,,,0.307598208,,,,0.367169641,,,,0.439670414,,,,0.498103197,,,,0.572470039,,,,0.66050396,,,,0.755294442,,,,0.85549873,,,,0.962321135,,,,1.07515412,,,,1.192121047,,,,1.319196019,,,,1.454049646,,,,1.597180691,,,,1.747456099,,,,,,,,2.047230356,,,,,,,,2.39009501,,,,,,2.743538065,,,,,,,,,,,,,,,,3.485937468,,,,,,,,3.796833514,,,,,,,,3.991105036,,,,,,,,4.139395635,,,,,,,4.264342993,,,,,4.139620155,,4.160037087,,4.184648362,,,,
4/A1,0.110745863,,,,0.173204864,,,,0.255029846,,,,0.350762312,,,,0.430630829,,,,0.534207211,,,,0.644064397,,,,0.756489837,,,,0.858625035,,,,0.978140768,,,,1.098193994,,,,1.218923124,,,,1.341263355,,,,1.465941696,,,,1.590435529,,,,1.721942618,,,,1.837238728,,,,1.983368655,,,,2.131461784,,,,,,,,2.434118663,,,,,,,,2.747514596,,,,,,3.070670663,,,,,,,,,,,,,,,,3.748171732,,,,,,,,4.103281107,,,,,,,,4.382411578,,,,,,,,4.520854144,,,,,,,4.646312529,,,,,4.59394546,,4.618682531,,4.648890088,,,,
5/A1,0.152618912,,,,0.234168699,,,,0.284425356,,,,0.384461904,,,,0.50241162,,,,0.626948753,,,,0.776124378,,,,0.935601753,,,,1.074202383,,,,1.235738656,,,,1.380692053,,,,1.510831633,,,,1.633012218,,,,1.752195549,,,,1.870948721,,,,1.991715456,,,,2.085980734,,,,2.220156932,,,,2.360398321,,,,,,,,2.655308059,,,,,,,,2.966397219,,,,,,3.294028313,,,,,,,,,,,,,,,,4.005642914,,,,,,,,4.354023054,,,,,,,,4.675044733,,,,,,,,5.019558258,,,,,,,5.258307481,,,,,5.143302042,,5.164627111,,5.196475574,,,,
6/A1,0.17073701,,,,0.247950837,,,,0.354540023,,,,0.401941957,,,,0.5299037,,,,0.674447402,,,,0.835170689,,,,1.001149265,,,,1.15520156,,,,1.326287041,,,,1.49696317,,,,1.666096446,,,,1.835180828,,,,2.003952987,,,,2.139672493,,,,2.311986986,,,,2.487906029,,,,2.66232216,,,,2.837502932,,,,,,,,3.153105273,,,,,,,,3.501830098,,,,,,3.901032113,,,,,,,,,,,,,,,,4.600938162,,,,,,,,4.891421072,,,,,,,,5.072977482,,,,,,,,5.177343756,,,,,,,6.47595455,,,,,6.437380959,,6.539474796,,6.636268023,,,,
1/A2,0.106808674,0.117500543,0.128664,0.152393145,0.164938349,0.17792842,0.205227217,0.219521445,0.234101749,0.249188339,0.264591994,0.296636986,0.313264506,0.330244889,0.365248815,0.383256359,0.40156994,0.420131318,0.457906777,0.476788559,0.494760311,0.508298154,0.513463888,0.515528172,0.515926309,0.516298067,0.516686194,0.517956815,0.518876775,0.519607871,0.520149414,0.521509713,0.522195831,0.522888695,0.523522058,0.52432641,0.524608831,0.524877549,0.525446587,0.525662994,0.525730418,0.525753591,0.525672419,0.525643374,0.525283946,0.525139645,0.524968661,0.524569033,0.524176769,0.5239275,0.523662314,0.523096163,0.522790668,0.522471176,0.521723752,0.521301862,0.520951056,0.520591215,0.519766988,0.519436287,0.519120128,0.519578075,0.525713754,0.517085276,0.516465764,0.515835523,0.514921318,0.513601147,0.513022256,0.512446283,0.51131813,0.510773739,0.510247927,0.509541806,0.509053438,0.508171297,0.507635673,0.50730821,0.507003959,0.506374499,0.506222657,0.506128733,0.506122924,0.506231856,0.506337415,0.506618637,0.506914319,0.507719885,0.508346709,0.508899983,0.510258898,0.511224639,0.512882293,0.516371766,0.518475531,0.518992828,0.520103081,0.522750599,0.524096041,0.525733756,0.529245228,0.531073766,0.532948885,0.534974173,0.537007799,0.541218285,0.543342645,0.545603727,0.550151317,0.552476697,0.55451538,0.556895782,0.559297994,0.564167689,0.566572851,0.569102533,0.571588957,0.576605817,0.579113639,0.581624124,0.586645472,0.589152592,0.591607032,0.594151345,0.59663987,0.601934005,0.604386578,0.606825813,0.61166336,0.61405594,0.616562947,0.61896649,0.623983945,0.626729945,0.629347547,0.632146316,0.635253514,0.647088665,0.647132681,0.653620008,0.657971045,0.661156069,0.661689694,0.662412844,0.660953978,0.662406447,0.668608952,0.676824253,0.684336194,0.69112032,0.697167415,0.702439144,0.706986085,0.710838329,0.714050016
2/A2,0.164012627,0.179831947,0.192544466,0.228049716,0.24680058,0.266100912,0.306587696,0.327658612,0.331114363,0.35212746,0.348784782,0.390761272,0.412082937,0.431979498,0.472658698,0.490502102,0.504739348,0.514087377,0.521256113,0.522069087,0.523587296,0.529756606,0.544738705,0.584429681,0.605560164,0.627138535,0.648996064,0.693885909,0.716703354,0.739884117,0.763423161,0.811162,0.835498684,0.860122302,0.885033253,0.935703712,0.961477949,0.987550645,1.040579313,1.067523755,1.094762817,1.122292325,1.178198788,1.206592034,1.235266147,1.264228129,1.293472377,1.352798723,1.382861627,1.41321392,1.443836794,1.505878585,1.537288084,1.568948863,1.632931796,1.665219731,1.697772477,1.730520162,1.796475886,1.829611569,1.862777835,1.89610211,1.963544317,1.994210116,2.025957062,2.056669462,2.085787224,2.136566446,2.157239597,2.174243121,2.198509542,2.206973146,2.213771682,2.219042719,2.223692266,2.231150924,2.234084967,2.236909485,2.239503153,2.244078349,2.246273938,2.248398179,2.252533385,2.25455255,2.25655232,2.2585917,2.260624195,2.264764853,2.266991294,2.269123999,2.273525631,2.275999526,2.279073127,2.283608913,2.291618053,2.293533349,2.296023872,2.301427924,2.304136425,2.307096407,2.313274905,2.316406425,2.319628667,2.32293861,2.326295147,2.333127881,2.336596671,2.340168894,2.347338344,2.350975437,2.354348239,2.358043071,2.361765124,2.369275809,2.373037215,2.376852217,2.380659516,2.388280722,2.392107267,2.395935719,2.403589281,2.407410116,2.411201505,2.415029823,2.418824937,2.426652877,2.430401019,2.434131751,2.441535973,2.445206435,2.449084161,2.452717713,2.460227621,2.464252104,2.46816804,2.472121771,2.476453996,2.49438396,2.494401096,2.502220235,2.507653329,2.512362194,2.513702333,2.517125558,2.516326213,2.518979847,2.530351857,2.543711324,2.55610364,2.567576738,2.578017801,2.587427708,2.59588011,2.603439835,2.610107287
3/A2,0.209973307,0.231047781,0.248975704,0.294758241,0.319116041,0.344322792,0.397307453,0.425079,0.453438349,0.48279147,0.499874562,0.561278261,0.593065202,0.593562057,0.585786356,0.58582284,0.590539227,0.601303403,0.638484142,0.661686625,0.686552583,0.71266419,0.739696134,0.795878032,0.824807753,0.854246273,0.882059945,0.942794435,0.973833092,1.005250954,1.036991146,1.101555247,1.134355873,1.16747388,1.200894124,1.2686382,1.303007788,1.337619558,1.407690925,1.443114171,1.478764719,1.514638702,1.586939421,1.623442239,1.659921669,1.696653253,1.73346766,1.80710759,1.843788926,1.880312556,1.916503759,1.987119349,2.020970946,2.053315937,2.111420203,2.135979682,2.157358481,2.175392229,2.203138239,2.213906712,2.223024463,2.232010139,2.252203472,2.253354206,2.261193817,2.269988302,2.280023919,2.307856133,2.326837313,2.349609999,2.405341142,2.437131836,2.470776157,2.505734638,2.541910659,2.616764754,2.655329248,2.694270834,2.733673651,2.813634886,2.854189654,2.895072929,2.959380734,2.965114646,2.970612578,2.976010024,2.981319964,2.991709752,2.996881886,3.001863265,3.011640006,3.016604139,3.021981526,3.029900179,3.046645319,3.049643995,3.05404005,3.062929225,3.067362877,3.071879567,3.081124511,3.085713262,3.09032425,3.094981797,3.0996116,3.10885825,3.113449293,3.118077932,3.127264967,3.131841096,3.136124751,3.140665071,3.145187746,3.154173628,3.158614732,3.163069417,3.167479489,3.17608002,3.18041275,3.18471408,3.193216997,3.197415996,3.201558469,3.205703127,3.209789259,3.218204979,3.222169388,3.226091208,3.233805239,3.237595919,3.241507512,3.245219089,3.252954802,3.257035453,3.260863868,3.264820245,3.269069409,3.318937545,3.318960359,3.294097219,3.29962661,3.303990534,3.305297578,3.307936245,3.307478001,3.309609926,3.32011668,3.332294851,3.343378152,3.353538497,3.36267252,3.370802663,3.377829921,3.384120341,3.389628389
4/A2,0.234016414,0.257218563,0.281890626,0.334514041,0.362415898,0.39133471,0.452231039,0.484155379,0.515836472,0.549276433,0.580269712,0.605717272,0.599702271,0.625441852,0.692218387,0.726706087,0.761716897,0.797406603,0.870491584,0.907836857,0.839089128,0.874241241,0.909931882,0.982836773,1.020042656,1.057719833,1.089562401,1.165930927,1.204569222,1.243632059,1.283132669,1.362447752,1.402600631,1.44297528,1.483540508,1.565014213,1.605598548,1.646586028,1.728655013,1.769555393,1.810498163,1.851337407,1.931949188,1.972142275,2.008859479,2.048356451,2.087446048,2.164163245,2.201619259,2.238461408,2.260341423,2.277524545,2.287450399,2.298818667,2.328487992,2.347850886,2.371014782,2.397561137,2.459960609,2.494682407,2.531028374,2.569031309,2.650380366,2.687597508,2.728653257,2.761257421,2.775847087,2.802816474,2.81522749,2.826953332,2.848546345,2.858508049,2.867971805,2.876463915,2.885042476,2.901067442,2.908422159,2.915632552,2.92256609,2.935404542,2.941668728,2.947748518,2.977751136,3.019503289,3.06153733,3.103834063,3.146378474,3.232161977,3.275412709,3.318754133,3.40610425,3.450010485,3.495074866,3.548623592,3.723235611,3.763742065,3.808506813,3.899771036,3.945541154,3.991536393,4.083947849,4.130274093,4.176724272,4.223268611,4.269882026,4.363258645,4.409989823,4.456765344,4.550221803,4.596885123,4.64303942,4.689513462,4.735854047,4.828045088,4.873754774,4.919178763,4.964241661,5.052855352,5.096433287,5.139345793,5.222742818,5.262981025,5.302056008,5.339844602,5.376174902,5.444376757,5.475549483,5.504824555,5.557621509,5.581196075,5.603640897,5.623763537,5.659855409,5.676153126,5.691282791,5.706377535,5.720500368,5.837758215,5.837769168,5.787132191,5.797665167,5.808484381,5.813671372,5.826420748,5.83070859,5.83715489,5.863359591,5.88917339,5.911604909,5.931316658,5.94862176,5.96378466,5.977224067,5.988987313,5.999355798
5/A2,0.346604994,0.380452894,0.416190094,0.492329322,0.532644677,0.574143547,0.656810552,0.660714045,0.589512275,0.62868976,0.619296454,0.654155643,0.690473904,0.727795535,0.805283041,0.845224274,0.885894679,0.927196933,1.011969441,1.055299554,1.099188116,1.143641728,1.188635703,1.280062745,1.326387529,1.37306991,1.418242501,1.511847902,1.558734223,1.605786927,1.652549704,1.74513868,1.790516456,1.834809907,1.877930414,1.958557242,1.995394128,2.029303768,2.087593417,2.111840772,2.132870576,2.151073225,2.18042019,2.192444179,2.203141671,2.21272625,2.221504939,2.2375026,2.244991426,2.252571035,2.274577781,2.344365163,2.377904893,2.410458138,2.472116208,2.501327155,2.529407133,2.556291649,2.606454416,2.629772436,2.651886734,2.673538488,2.732470362,2.729000294,2.745607661,2.770207645,2.812114773,2.89712873,2.940114488,2.983368979,3.070594697,3.114531135,3.158664425,3.202613328,3.247098856,3.336563448,3.381695355,3.426817292,3.472077978,3.562911858,3.608566054,3.654339976,3.746167499,3.791916067,3.83810382,3.884392486,3.930766868,4.023751949,4.070393065,4.116970631,4.210314526,4.257438402,4.304742467,4.373524074,4.540619439,4.585752669,4.63217584,4.725422244,4.771657652,4.81800835,4.910327787,4.956090794,5.00163372,5.046841595,5.091671095,5.179762792,5.222846853,5.265130693,5.346831363,5.385929617,5.423204885,5.459363474,5.493895743,5.557704414,5.586975763,5.614611643,5.6407471,5.689216884,5.712172283,5.734562615,5.778661664,5.800868319,5.823497371,5.846798088,5.870975125,5.923360742,5.951315458,5.980789558,6.044326569,6.078535845,6.114554532,6.151703425,6.22993523,6.271181264,6.313317777,6.358154748,6.40379247,6.597674075,6.597680351,6.671451499,6.72128401,6.782270128,6.812859172,6.900599922,6.944323685,6.990887094,7.223481198,7.457734195,7.691152359,7.922927927,8.152728375,8.37994593,8.431683748,8.442294691,8.451130881
6/A2,0.440896694,0.47568726,0.485972592,0.573455107,0.620081437,0.65102115,0.673515576,0.71021896,0.755877312,0.804471898,0.64067718,0.720684599,0.76243017,0.802578227,0.890744948,0.936373587,0.982990954,1.030572745,1.128446292,1.178904232,1.23023572,1.282579634,1.3358126,1.444848058,1.500639132,1.55724126,1.60120008,1.716386964,1.774863116,1.834100702,1.893778346,2.014332469,2.075672574,2.137384442,2.199343808,2.322708163,2.379755743,2.419304322,2.48249196,2.517724516,2.5555531,2.596194172,2.684643371,2.731810577,2.7805573,2.830506479,2.881527065,2.986087377,3.039325003,3.093115157,3.147343302,3.256834232,3.311947881,3.367176174,3.4154443,3.44109873,3.467818022,3.495752835,3.55514095,3.586733374,3.619457595,3.654299367,3.773829593,3.76165767,3.799746388,3.83879469,3.87853273,3.960948715,4.003374977,4.046519416,4.134786243,4.179827262,4.225423421,4.270964552,4.317550109,4.412056188,4.459763647,4.508003344,4.556584795,4.654616613,4.704118486,4.753886713,4.85405883,4.904635329,4.955056075,5.00608217,5.056956563,5.327366031,5.347907396,5.367409148,5.40417199,5.417273197,5.469435691,5.536785405,5.739053079,5.530132884,5.544241573,5.572143389,5.586150796,5.600105623,5.628303372,5.642500099,5.657009057,5.671822018,5.686984001,5.719225924,5.736064467,5.753599536,5.792043755,5.813130372,5.835332079,5.859533163,5.885544289,5.943366368,5.975263453,6.009093866,6.044754299,6.120810196,6.161057055,6.202485102,6.288274082,6.332368684,6.377108583,6.422416428,6.468196173,6.561347115,6.608191486,6.655295153,6.750138591,6.797827706,6.846476573,6.894432412,6.990816845,7.039525359,7.088178819,7.137949165,7.189349524,7.420767998,7.42077266,7.481107644,7.534825073,7.59236045,7.630310109,7.72113656,7.765596642,7.813587072,8.050573628,8.28809891,8.523193141,8.754579674,8.982486796,9.204999365,8.603697525,8.824112327,9.039356466
1/B1,0.056764475,,,,0.079724468,,,,0.107711355,,,,0.131816806,,,,0.166811148,,,,0.206066625,,,,0.252064502,,,,0.302986868,,,,0.36107427,,,,0.426386209,,,,0.498032279,,,,0.574938694,,,,0.659038086,,,,0.750342297,,,,0.845440638,,,,0.94738243,,,,1.065090548,,,,1.190473426,,,,1.32536836,,,,,,,,1.604057583,,,,,,,,1.902948773,,,,,,2.266773298,,,,,,,,,,,,,,,,2.91424202,,,,,,,,3.178732704,,,,,,,,3.333081241,,,,,,,,3.425959585,,,,,,,3.581357726,,,,,3.44965213,,3.464611281,,3.482114494,,,,
